SCINAME,O,U,F,M,E,S,N,W,H,D,Q
Corvus corax,0,1,0,1,0,0,1,0,0,0,1
Corvus corone,0,1,0,0,1,0,1,0,0,1,0
Loxia curvirostra,0,1,0,1,0,0,0,0,1,1,0
Prunella collaris,0,0,0,0,0,0,1,0,1,1,1
Pyrrhocorax pyrrhocorax,0,0,0,0,0,0,1,0,1,1,1
Garrulus glandarius,0,1,0,0,1,0,0,0,1,1,0
Linaria flavirostris,0,0,0,0,0,0,1,0,1,1,1
Monticola solitarius,0,0,0,0,1,0,0,1,1,1,0
Phasianus colchicus,0,0,0,0,1,1,1,0,0,1,0
Picus canus,0,1,0,0,1,0,0,0,1,1,0
Pyrrhocorax graculus,0,0,0,0,0,0,0,1,1,1,1
Sitta europaea,0,1,0,0,1,0,1,0,0,1,0
Corvus macrorhynchos,0,0,0,0,1,1,0,0,1,1,0
Mycerobas carnipes,0,0,0,0,0,0,1,1,1,1,0
Myophonus caeruleus,0,0,0,0,1,1,0,0,1,1,0
Nucifraga caryocatactes,0,1,0,0,1,0,0,0,1,1,0
Oenanthe deserti,0,0,0,0,0,0,1,1,1,0,1
Periparus ater,0,1,0,0,1,0,0,0,1,1,0
Phoenicurus fuliginosus,0,0,0,0,1,1,0,0,1,1,0
Phoenicurus leucocephalus,0,0,0,0,1,1,0,0,1,1,0
Phoenicurus ochruros,0,1,0,0,0,0,1,0,0,1,1
Poecile montanus,0,1,0,0,1,0,1,0,0,0,0
Pyrrhula erythaca,0,0,0,0,0,1,0,0,1,1,0
Saxicola maurus,0,1,0,0,0,0,0,1,1,1,0
Aegithalos concinnus,0,0,0,0,1,1,0,0,1,1,0
Alectoris chukar,0,0,0,0,1,0,1,1,1,0,0
Carduelis carduelis,0,1,0,0,0,0,1,1,1,0,0
Carpodacus puniceus,0,0,0,0,0,0,1,0,1,1,1
Carpodacus rubicilla,0,0,0,0,0,0,1,0,1,1,1
Carpodacus sibiricus,0,1,0,0,1,0,1,0,0,1,0
Chloris sinica,0,0,0,0,1,1,1,0,0,1,0
Copsychus saularis,0,0,0,0,1,1,0,0,1,1,0
Coloeus dauuricus,0,0,0,0,1,0,1,0,0,1,1
Corvus frugilegus,0,1,0,0,1,0,1,1,0,0,0
Cyanoderma ruficeps,0,0,0,0,1,1,0,0,1,1,0
Dendrocitta formosae,0,0,0,0,1,1,0,0,1,1,0
Dendrocopos hyperythrus,0,0,0,0,1,1,0,0,1,1,0
Dendrocopos leucotos,0,1,0,0,1,0,1,0,0,1,0
Dendrocopos major,0,1,0,0,1,0,1,0,0,1,0
Dicrurus leucophaeus,0,0,0,0,1,1,0,0,1,1,0
Dicrurus macrocercus,0,0,0,0,1,1,0,0,1,1,0
