"sp","migrant","area","HWI","family"
"Agelaioides_badius","Non-migrant",344.276326398296,32.8186417424528,"Icteridae"
"Agelaius_assimilis","Non-migrant",0.357111998220853,36.8018453088905,"Icteridae"
"Agelaius_humeralis","Non-migrant",9.64504756560931,39.596517393233,"Icteridae"
"Agelaius_phoeniceus","Migrant",1627.05388601302,39.481260854268,"Icteridae"
"Agelaius_tricolor","Migrant",11.4653074542898,45.4182493939001,"Icteridae"
"Agelaius_xanthomus","Non-migrant",0.745426196933194,33.5039186788842,"Icteridae"
"Agelasticus_thilius","Migrant",271.70002357759,32.4184123759646,"Icteridae"
"Aimophila_rufescens","Non-migrant",53.3452568264234,27.2600927267459,"Passerellidae"
"Aimophila_ruficeps","Non-migrant",110.40108145049,24.7322334330755,"Passerellidae"
"Amblycercus_holosericeus","Non-migrant",96.410125094467,25.3465725161332,"Icteridae"
"Amblyramphus_holosericeus","Non-migrant",144.018852704797,29.9023718391526,"Icteridae"
"Ammodramus_aurifrons","Non-migrant",316.197252665436,25.5702481420978,"Passerellidae"
"Ammodramus_humeralis","Non-migrant",787.967619127896,28.2552096810364,"Passerellidae"
"Ammodramus_savannarum","Migrant",798.592019394697,38.2920246744248,"Passerellidae"
"Ammospiza_caudacuta","Migrant",21.3753073860605,31.6312503494112,"Passerellidae"
"Ammospiza_leconteii","Migrant",661.869657507255,30.443497916325,"Passerellidae"
"Ammospiza_maritima","Migrant",20.3262491112918,24.9830618370164,"Passerellidae"
"Ammospiza_nelsoni","Migrant",349.324717212998,34.0302395971825,"Passerellidae"
"Amphispiza_bilineata","Migrant",236.132087459811,32.123385292402,"Passerellidae"
"Anisognathus_igniventris","Non-migrant",8.10293699189194,29.9377872511034,"Thraupidae"
"Anisognathus_lacrymosus","Non-migrant",14.2358782664474,30.6060261865651,"Thraupidae"
"Anisognathus_melanogenys","Non-migrant",0.653616291758626,30.3706767639352,"Thraupidae"
"Anisognathus_somptuosus","Non-migrant",26.1566738993641,34.2226479305131,"Thraupidae"
"Arremon_assimilis","Non-migrant",24.8065413346928,22.9147255126429,"Passerellidae"
"Arremon_aurantiirostris","Non-migrant",57.2169341433085,26.8303395950455,"Passerellidae"
"Arremon_brunneinucha","Non-migrant",51.2183073676912,23.3581228556373,"Passerellidae"
"Arremon_costaricensis","Non-migrant",0.306321482983414,24.9806517636966,"Passerellidae"
"Arremon_crassirostris","Non-migrant",0.78173843767913,21.2982057362379,"Passerellidae"
"Arremon_phaeopleurus","Non-migrant",0.850758155488729,19.3483806692401,"Passerellidae"
"Arremon_schlegeli","Non-migrant",15.4906375578884,27.7995989517729,"Passerellidae"
"Arremon_taciturnus","Non-migrant",555.749173459244,24.9966261808367,"Passerellidae"
"Arremon_torquatus","Non-migrant",9.68732518108614,23.4148229606025,"Passerellidae"
"Arremon_virenticeps","Non-migrant",6.86798852066861,21.7156167697994,"Passerellidae"
"Arremonops_chloronotus","Non-migrant",19.9629788748813,20.2423687423687,"Passerellidae"
"Arremonops_conirostris","Non-migrant",92.9057734185291,26.4029764598678,"Passerellidae"
"Arremonops_rufivirgatus","Non-migrant",48.4605877864004,27.9752133658902,"Passerellidae"
"Arremonops_tocuyensis","Non-migrant",6.02226534687879,19.7526500281163,"Passerellidae"
"Artemisiospiza_belli","Migrant",22.2853342304519,32.7329983449386,"Passerellidae"
"Artemisiospiza_nevadensis","Migrant",169.804521063428,37.4158129437306,"Passerellidae"
"Atlapetes_albinucha","Non-migrant",22.8895030252237,26.0269813291552,"Passerellidae"
