especie;gremio
Ametrida_centurio;H
Anoura_caudifer;O
Anoura_cultrata;O
Anoura_geoffroyi;O
Anoura_latidens;O
Ardops_nichollsi;H
Ariteus_flavescens;H
Artibeus_amplus;H
Artibeus_concolor;H
Artibeus_fimbriatus;OH
Artibeus_fraterculus;OH
Artibeus_hirsutus;OH
Artibeus_inopinatus;OH
Artibeus_intermedius;OH
Artibeus_jamaicensis;OH
Artibeus_lituratus;OH
Artibeus_obscurus;OH
Artibeus_planirostris;OH
Artibeus_schwartzi;OH
Brachyphylla_cavernarum;OH
Brachyphylla_nana;OH
Carollia_benkeithi;OH
Carollia_brevicauda;OH
Carollia_castanea;OH
Carollia_perspicillata;OH
Carollia_sowelli;OH
Carollia_subrufa;OH
Centurio_senex;OH
Chiroderma_doriae;H
Chiroderma_improvisum;H
Chiroderma_salvini;OH
Chiroderma_trinitatum;OH
Chiroderma_villosum;OH
Choeroniscus_godmani;OH
Choeroniscus_minor;OH
Choeronycteris_mexicana;OH
Chrotopterus_auritus;O
Dermanura_anderseni;OH
Dermanura_azteca;OH
Dermanura_bogotensis;OH
Dermanura_cinerea;OH
Dermanura_glauca;OH
Dermanura_gnoma;OH
Dermanura_phaeotis;OH
Dermanura_tolteca;OH
Dermanura_watsoni;H
Desmodus_rotundus;A
Diaemus_youngii;A
Diphylla_ecaudata;A
Ectophylla_alba;H
Enchisthenes_hartii;OH
Erophylla_bombifrons;OH
Erophylla_sezekorni;OH
Gardnerycteris_crenulatum;OA
Glossophaga_commissarisi;O
Glossophaga_leachii;OH
Glossophaga_longirostris;OH
Glossophaga_morenoi;OH
Glossophaga_soricina;OH
Glyphonycteris_daviesi;A
Glyphonycteris_sylvestris;OA
Hsunycteris_thomasi;OH
Hylonycteris_underwoodi;OH
Lampronycteris_brachyotis;OA
Leptonycteris_curasoae;OH
Leptonycteris_yerbabuenae;OH
Lichonycteris_obscura;OH
Lionycteris_spurrelli;OH
Lonchophylla_chocoana;OH
Lonchophylla_dekeyseri;OH
Lonchophylla_handleyi;OH
Lonchophylla_hesperia;OH
Lonchophylla_mordax;OH
Lonchophylla_robusta;OH
Lonchorhina_aurita;OA
Lonchorhina_inusitata;OA
Lonchorhina_orinocensis;OA
Lophostoma_brasiliense;OA
Lophostoma_carrikeri;OA
Lophostoma_evotis;OA
Lophostoma_schulzi;A
Lophostoma_silvicolum;OA
Macrophyllum_macrophyllum;A
Macrotus_californicus;OA
Macrotus_waterhousii;OA
Mesophylla_macconnelli;OH
Micronycteris_brosseti;OA
Micronycteris_schmidtorum;OA
Micronycteris_giovanniae;OA
Micronycteris_matses;OA
Micronycteris_megalotis;O
Micronycteris_microtis;OA
Micronycteris_minuta;OA
Micronycteris_hirsuta;OA
Mimon_bennettii;OA
Mimon_cozumelae;OA
Monophyllus_plethodon;O
Monophyllus_redmani;O
Musonycteris_harrisoni;OH
Phylloderma_stenops;O
Phyllonycteris_poeyi;O
Phyllonycteris_aphylla;OA
Phyllops_falcatus;H
Phyllostomus_discolor;O
Phyllostomus_elongatus;O
Phyllostomus_hastatus;O
Phyllostomus_latifolius;O
Platalina_genovensium;H
Platyrrhinus_albericoi;H
Platyrrhinus_aurarius;H
Platyrrhinus_brachycephalus;OH
Platyrrhinus_dorsalis;OH
Platyrrhinus_helleri;OH
Platyrrhinus_incarum;OH
Platyrrhinus_infuscus;OH
Platyrrhinus_ismaeli;OH
Platyrrhinus_lineatus;O
Platyrrhinus_masu;H
Platyrrhinus_matapalensis;OH
Platyrrhinus_recifinus;OH
Platyrrhinus_umbratus;OH
Platyrrhinus_vittatus;H
Pygoderma_bilabiatum;H
Rhinophylla_alethina;H
Rhinophylla_fischerae;OH
Rhinophylla_pumilio;OH
Sphaeronycteris_toxophyllum;H
Stenoderma_rufum;H
Sturnira_angeli;H
Sturnira_aratathomasi;H
Sturnira_bakeri;H
Sturnira_bidens;H
Sturnira_bogotensis;H
Sturnira_parvidens;OH
Sturnira_burtonlimi;H
Sturnira_hondurensis;H
Sturnira_koopmanhilli;H
Sturnira_luisi;H
Sturnira_magna;H
Sturnira_nana;H
Sturnira_erythromos;OH
Sturnira_lilium;OH
Sturnira_ludovici;OH
Sturnira_paulsoni;H
Sturnira_perla;H
Sturnira_mordax;OH
Sturnira_oporaphilum;OH
Sturnira_tildae;OH
Tonatia_bidens;OA
Trachops_cirrhosus;OA
Trinycteris_nicefori;OA
Uroderma_bilobatum;OH
Uroderma_magnirostrum;OH
Vampyressa_melissa;OH
Vampyressa_pusilla;OH
Vampyressa_thyone;OH
Vampyriscus_brocki;OH
Vampyriscus_nymphaea;OH
Vampyriscus_bidens;OH
Vampyrodes_caraccioli;OH
Vampyrodes_major;H
Vampyrum_spectrum;OA
