"sp","longitude","latitude","country"
"Pharomachrus mocinno",-92.89292,15.67816,"MX"
"Pharomachrus mocinno",-92.303375,15.23776,"MX"
"Pharomachrus mocinno",-92.80874,15.656799,"MX"
"Pharomachrus mocinno",-92.80078,15.66555,"MX"
"Pharomachrus mocinno",-92.79903,15.650703,"MX"
"Pharomachrus mocinno",-91.707436,16.106237,"MX"
"Pharomachrus mocinno",-92.81853,15.666775,"MX"
"Pharomachrus mocinno",-92.807434,15.648225,"MX"
"Pharomachrus mocinno",-92.80705,15.664806,"MX"
"Pharomachrus mocinno",-92.815094,15.658592,"MX"
"Pharomachrus mocinno",-92.8152,15.662801,"MX"
"Pharomachrus mocinno",-92.80083,15.672767,"MX"
"Pharomachrus mocinno",-92.803955,15.626561,"MX"
"Pharomachrus mocinno",-92.799286,15.668781,"MX"
"Pharomachrus mocinno",-92.80486,15.64238,"MX"
"Pharomachrus mocinno",-92.81147,15.66783,"MX"
"Pharomachrus mocinno",-92.80844,15.65689,"MX"
"Pharomachrus mocinno",-92.1528,15.166397,"MX"
"Pharomachrus mocinno",-92.871895,15.727523,"MX"
"Pharomachrus mocinno",-92.80486,15.642378,"MX"
"Pharomachrus mocinno",-92.80349,15.629484,"MX"
"Pharomachrus mocinno",-91.7390855,16.0952427,"MX"
"Pharomachrus mocinno",-91.653196,16.114924,"MX"
"Pharomachrus mocinno",-92.811618,15.65852,"MX"
"Pharomachrus mocinno",-94.216667,16.366667,"MX"
"Pharomachrus mocinno",-94.183333,16.583333,"MX"
"Pharomachrus mocinno",-92.8037,15.637599,"MX"
"Pharomachrus mocinno",-91.67995,16.106886,"MX"
"Pharomachrus mocinno",-92.82812,15.671175,"MX"
"Pharomachrus mocinno",-92.80718,15.655509,"MX"
"Pharomachrus mocinno",-92.81501,15.651511,"MX"
"Pharomachrus mocinno",-92.14487,15.14507,"MX"
"Pharomachrus mocinno",-93.12625,17.188892,"MX"
"Pharomachrus mocinno",-92.80426,15.66977,"MX"
"Pharomachrus mocinno",-92.883504,17.100779,"MX"
"Pharomachrus mocinno",-91.708479,16.759128,"MX"
"Pharomachrus mocinno",-94.366875,16.534137,"MX"
"Pharomachrus mocinno",-94.480207,16.507478,"MX"
"Pharomachrus mocinno",-93.411855,16.805794,"MX"
"Pharomachrus mocinno",-92.573496,15.572529,"MX"
"Pharomachrus mocinno",-92.368492,15.259206,"MX"
"Pharomachrus mocinno",-93.335183,16.207495,"MX"
"Pharomachrus mocinno",-92.100156,15.132553,"MX"
"Pharomachrus mocinno",-92.166827,15.17088,"MX"
"Pharomachrus mocinno",-92.900174,17.167446,"MX"
"Pharomachrus mocinno",-91.52607,16.155985,"MX"
"Pharomachrus mocinno",-93.114578,17.19553,"MX"
"Pharomachrus mocinno",-93.061066,16.799282,"MX"
"Pharomachrus mocinno",-93.115639,17.201461,"MX"
"Pharomachrus mocinno",-93.1134,17.1936,"MX"
"Pharomachrus mocinno",-93.191457,17.096173,"MX"
"Pharomachrus mocinno",-93.105615,17.190247,"MX"
"Pharomachrus mocinno",-93.1297,17.339393,"MX"
"Pharomachrus mocinno",-92.2351,16.4888,"MX"
"Pharomachrus mocinno",-92.1352,16.2471,"MX"
"Pharomachrus mocinno",-93.110548,17.179168,"MX"
"Pharomachrus mocinno",-93.109079,17.188761,"MX"
"Pharomachrus mocinno",-93.104614,17.189838,"MX"
"Pharomachrus mocinno",-93.126075,17.186395,"MX"
"Pharomachrus mocinno",-93.108565,17.188691,"MX"
"Pharomachrus mocinno",-93.12402,17.18798,"MX"
"Pharomachrus mocinno",-93.11961,17.189585,"MX"
"Pharomachrus mocinno",-93.12494,17.18832,"MX"
"Pharomachrus mocinno",-93.47083,16.05437,"MX"
"Pharomachrus mocinno",-92.80571,15.73462,"MX"
"Pharomachrus mocinno",-91.68532,16.10121,"MX"
